id,date,time,from_city,to_city,travel_time,seat_type,seat_num,cost
66,2021-11-11,11:00,Rivne,Kyiv,5,3,66,300
67,2021-11-11,11:00,Rivne,Kyiv,5,3,67,300
68,2021-11-11,11:00,Rivne,Kyiv,5,3,68,300
69,2021-11-11,11:00,Rivne,Kyiv,5,3,69,300
70,2021-11-11,11:00,Rivne,Kyiv,5,3,70,300
71,2021-11-11,11:00,Rivne,Kyiv,5,3,71,300
72,2021-11-11,11:00,Rivne,Kyiv,5,3,72,300
73,2021-11-11,11:00,Rivne,Kyiv,5,3,73,300
74,2021-11-11,11:00,Rivne,Kyiv,5,3,74,300
75,2021-11-11,11:00,Rivne,Kyiv,5,3,75,300
76,2021-11-11,11:00,Rivne,Kyiv,5,3,76,300
77,2021-11-11,11:00,Rivne,Kyiv,5,3,77,300
78,2021-11-11,11:00,Rivne,Kyiv,5,3,78,300
79,2021-11-11,11:00,Rivne,Kyiv,5,3,79,300
80,2021-11-11,11:00,Rivne,Kyiv,5,3,80,300
81,2021-11-11,11:00,Rivne,Kyiv,5,3,81,300
82,2021-11-11,11:00,Rivne,Kyiv,5,3,82,300
83,2021-11-11,11:00,Rivne,Kyiv,5,3,83,300
84,2021-11-11,11:00,Rivne,Kyiv,5,3,84,300
85,2021-11-11,11:00,Rivne,Kyiv,5,3,85,300
86,2021-11-11,11:00,Rivne,Kyiv,5,3,86,300
87,2021-11-11,11:00,Rivne,Kyiv,5,3,87,300
88,2021-11-11,11:00,Rivne,Kyiv,5,3,88,300
89,2021-11-11,11:00,Rivne,Kyiv,5,3,89,300
90,2021-11-11,11:00,Rivne,Kyiv,5,3,90,300
91,2021-11-11,11:00,Rivne,Kyiv,5,3,91,300
92,2021-11-11,11:00,Rivne,Kyiv,5,3,92,300
93,2021-11-11,11:00,Rivne,Kyiv,5,3,93,300
94,2021-11-11,11:00,Rivne,Kyiv,5,3,94,300
95,2021-11-11,11:00,Rivne,Kyiv,5,3,95,300
96,2021-11-11,11:00,Rivne,Kyiv,5,3,96,300
97,2021-11-11,11:00,Rivne,Kyiv,5,3,97,300
98,2021-11-11,11:00,Rivne,Kyiv,5,3,98,300
99,2021-11-11,11:00,Rivne,Kyiv,5,3,99,300
100,2021-11-11,11:00,Rivne,Kyiv,5,3,100,300
101,2021-11-11,11:00,Rivne,Lviv,4,1,1,220
102,2021-11-11,11:00,Rivne,Lviv,4,1,2,220
103,2021-11-11,11:00,Rivne,Lviv,4,1,3,220
104,2021-11-11,11:00,Rivne,Lviv,4,1,4,220
105,2021-11-11,11:00,Rivne,Lviv,4,1,5,220
106,2021-11-11,11:00,Rivne,Lviv,4,1,6,220
107,2021-11-11,11:00,Rivne,Lviv,4,1,7,220
108,2021-11-11,11:00,Rivne,Lviv,4,1,8,220
109,2021-11-11,11:00,Rivne,Lviv,4,1,9,220
110,2021-11-11,11:00,Rivne,Lviv,4,1,10,220
111,2021-11-11,11:00,Rivne,Lviv,4,1,11,220
112,2021-11-11,11:00,Rivne,Lviv,4,1,12,220
113,2021-11-11,11:00,Rivne,Lviv,4,1,13,220
114,2021-11-11,11:00,Rivne,Lviv,4,1,14,220
115,2021-11-11,11:00,Rivne,Lviv,4,1,15,220
116,2021-11-11,11:00,Rivne,Lviv,4,1,16,220
117,2021-11-11,11:00,Rivne,Lviv,4,1,17,220
118,2021-11-11,11:00,Rivne,Lviv,4,1,18,220
119,2021-11-11,11:00,Rivne,Lviv,4,1,19,220
120,2021-11-11,11:00,Rivne,Lviv,4,1,20,220
121,2021-11-11,11:00,Rivne,Lviv,4,1,21,220
122,2021-11-11,11:00,Rivne,Lviv,4,1,22,220
123,2021-11-11,11:00,Rivne,Lviv,4,1,23,220
124,2021-11-11,11:00,Rivne,Lviv,4,1,24,220
125,2021-11-11,11:00,Rivne,Lviv,4,1,25,220
126,2021-11-11,11:00,Rivne,Lviv,4,1,26,220
127,2021-11-11,11:00,Rivne,Lviv,4,1,27,220
128,2021-11-11,11:00,Rivne,Lviv,4,1,28,220
129,2021-11-11,11:00,Rivne,Lviv,4,1,29,220
130,2021-11-11,11:00,Rivne,Lviv,4,1,30,220
131,2021-11-11,11:00,Rivne,Lviv,4,1,31,220
132,2021-11-11,11:00,Rivne,Lviv,4,1,32,220
133,2021-11-11,11:00,Rivne,Lviv,4,1,33,220
134,2021-11-11,11:00,Rivne,Lviv,4,1,34,220
135,2021-11-11,11:00,Rivne,Lviv,4,1,35,220
136,2021-11-11,11:00,Rivne,Lviv,4,1,36,220
137,2021-11-11,11:00,Rivne,Lviv,4,1,37,220
138,2021-11-11,11:00,Rivne,Lviv,4,1,38,220
139,2021-11-11,11:00,Rivne,Lviv,4,1,39,220
140,2021-11-11,11:00,Rivne,Lviv,4,1,40,220
141,2021-11-11,11:00,Rivne,Lviv,4,1,41,220
142,2021-11-11,11:00,Rivne,Lviv,4,1,42,220
143,2021-11-11,11:00,Rivne,Lviv,4,1,43,220
144,2021-11-11,11:00,Rivne,Lviv,4,1,44,220
145,2021-11-11,11:00,Rivne,Lviv,4,1,45,220
146,2021-11-11,11:00,Rivne,Lviv,4,1,46,220
147,2021-11-11,11:00,Rivne,Lviv,4,1,47,220
148,2021-11-11,11:00,Rivne,Lviv,4,1,48,220
149,2021-11-11,11:00,Rivne,Lviv,4,1,49,220
150,2021-11-11,11:00,Rivne,Lviv,4,1,50,220
151,2021-11-11,11:00,Rivne,Lviv,4,1,51,220
152,2021-11-11,11:00,Rivne,Lviv,4,1,52,220
153,2021-11-11,11:00,Rivne,Lviv,4,1,53,220
154,2021-11-11,11:00,Rivne,Lviv,4,1,54,220
155,2021-11-11,11:00,Rivne,Lviv,4,1,55,220
156,2021-11-11,11:00,Rivne,Lviv,4,1,56,220
157,2021-11-11,11:00,Rivne,Lviv,4,1,57,220
158,2021-11-11,11:00,Rivne,Lviv,4,1,58,220
159,2021-11-11,11:00,Rivne,Lviv,4,1,59,220
160,2021-11-11,11:00,Rivne,Lviv,4,1,60,220
161,2021-11-11,11:00,Rivne,Lviv,4,1,61,220
162,2021-11-11,11:00,Rivne,Lviv,4,1,62,220
163,2021-11-11,11:00,Rivne,Lviv,4,1,63,220
164,2021-11-11,11:00,Rivne,Lviv,4,1,64,220
165,2021-11-11,11:00,Rivne,Lviv,4,1,65,220
166,2021-11-11,11:00,Rivne,Lviv,4,1,66,220
167,2021-11-11,11:00,Rivne,Lviv,4,1,67,220
168,2021-11-11,11:00,Rivne,Lviv,4,1,68,220
169,2021-11-11,11:00,Rivne,Lviv,4,1,69,220
170,2021-11-11,11:00,Rivne,Lviv,4,1,70,220
171,2021-11-11,11:00,Rivne,Lviv,4,1,71,220
172,2021-11-11,11:00,Rivne,Lviv,4,1,72,220
173,2021-11-11,11:00,Rivne,Lviv,4,1,73,220
174,2021-11-11,11:00,Rivne,Lviv,4,1,74,220
175,2021-11-11,11:00,Rivne,Lviv,4,1,75,220
176,2021-11-11,11:00,Rivne,Lviv,4,1,76,220
177,2021-11-11,11:00,Rivne,Lviv,4,1,77,220
178,2021-11-11,11:00,Rivne,Lviv,4,1,78,220
179,2021-11-11,11:00,Rivne,Lviv,4,1,79,220
180,2021-11-11,11:00,Rivne,Lviv,4,1,80,220
181,2021-11-11,11:00,Rivne,Lviv,4,1,81,220
182,2021-11-11,11:00,Rivne,Lviv,4,1,82,220
183,2021-11-11,11:00,Rivne,Lviv,4,1,83,220
184,2021-11-11,11:00,Rivne,Lviv,4,1,84,220
185,2021-11-11,11:00,Rivne,Lviv,4,1,85,220
186,2021-11-11,11:00,Rivne,Lviv,4,1,86,220
187,2021-11-11,11:00,Rivne,Lviv,4,1,87,220
188,2021-11-11,11:00,Rivne,Lviv,4,1,88,220
189,2021-11-11,11:00,Rivne,Lviv,4,1,89,220
190,2021-11-11,11:00,Rivne,Lviv,4,1,90,220
191,2021-11-11,11:00,Rivne,Lviv,4,1,91,220
192,2021-11-11,11:00,Rivne,Lviv,4,1,92,220
193,2021-11-11,11:00,Rivne,Lviv,4,1,93,220
194,2021-11-11,11:00,Rivne,Lviv,4,1,94,220
195,2021-11-11,11:00,Rivne,Lviv,4,1,95,220
196,2021-11-11,11:00,Rivne,Lviv,4,1,96,220
197,2021-11-11,11:00,Rivne,Lviv,4,1,97,220
198,2021-11-11,11:00,Rivne,Lviv,4,1,98,220
199,2021-11-11,11:00,Rivne,Lviv,4,1,99,220
200,2021-11-11,11:00,Rivne,Lviv,4,1,100,220
